t,ID,Name,Year,Equity.Muliplier,TD/TA ratio,STD/TA ratio,LTD/TA ratio,Market.Value
10,25,Renata Ltd.,2017,1.446284907,0.241060119,0.235936487,0.005123632,78728872684
1,26,Salvo Chemical Industry Limited,2011,1.314271303,0.239623293,0.239623293,0,1418938837
2,26,Salvo Chemical Industry Limited,2012,1.308822682,0.235954562,0.235954562,0,938941723
3,26,Salvo Chemical Industry Limited,2013,0.723352585,0.489552617,0.428410449,0.061142168,1039993747
4,26,Salvo Chemical Industry Limited,2014,1.339133314,0.027895142,0,0.027895142,1057000995
5,26,Salvo Chemical Industry Limited,2015,1.385363293,0.042249512,0,0.042249512,718964928
6,26,Salvo Chemical Industry Limited,2016,1.292277982,0.039262812,0,0.039262812,996721287.9
7,26,Salvo Chemical Industry Limited,2017,1.395351485,0.063568853,0,0.063568853,1337611774
1,27,Square Pharmaceuticals Ltd.,2008,1.509215396,0.4042444,0.356808474,0.047435926,63415476720
2,27,Square Pharmaceuticals Ltd.,2009,1.328715652,0.256882733,0.223184266,0.033698467,46598846400
3,27,Square Pharmaceuticals Ltd.,2010,1.296478292,0.20569114,0.137738891,0.067952249,69092447580
4,27,Square Pharmaceuticals Ltd.,2011,1.407209377,0.317727566,0.284008582,0.033718984,62792321596
5,27,Square Pharmaceuticals Ltd.,2012,1.318862569,0.22486328,0.201148208,0.023715072,44651140536
6,27,Square Pharmaceuticals Ltd.,2013,1.244253718,0.175107535,0.161740685,0.01336685,50371571352
7,27,Square Pharmaceuticals Ltd.,2014,1.191763666,0.128790403,0.123651296,0.005139107,1.43286E+11
8,27,Square Pharmaceuticals Ltd.,2015,1.118518226,0.082575979,0.081297546,0.001278433,1.58204E+11
9,27,Square Pharmaceuticals Ltd.,2016,1.100503306,0.09561483,0.068696982,0.026917849,1.70869E+11
10,27,Square Pharmaceuticals Ltd.,2017,1.285590498,0.076276886,0.051601323,0.024675563,2.22545E+11
1,28,Wata Chemicals Limited,2014,1.55242833,0.274941029,0.199508192,0.075432837,1341943200
2,28,Wata Chemicals Limited,2015,1.557800074,0.341874204,0.312086265,0.029787939,1350472500
3,28,Wata Chemicals Limited,2016,1.54390526,0.352291863,0.171987319,0.180304544,1466407800
4,28,Wata Chemicals Limited,2017,1.911657844,0.476893837,0.335104092,0.141789745,2411754213
