Company Name,Year,Revenue,COS,A/R,A/P,Inventory,NI,CA,#NAME?,CL,GOI,ROA,CR,QR,RD,PD,ID,CCC,Size=Logarithm of assets,ID,t,net profit margin,Mean,Ind Avg.,gross profit margin,Mean,Ind. Avg.,ROA,Mean,Ind. Avg.
ARGON DENIM,2017,"2,847,715,899","2,217,049,475","1,805,868,733","1,675,980","591,043,000","349,729,414","3,087,924,755","4,618,239,665","1,537,646,995",630.67,0.08,2.01,1.62,228.29,0.27,95.97,323.99,22.253279,12,5,12.28105002,10.76337638,,0.221463954,0.229088553,,0.075727862,0.075187368,
CNA TEX,2013,"1,652,546,716","1,299,845,397","379,211,351","111,187,527","288,282,575","255,826,467","696,477,740","2,409,407,839","753,091,849",352.7,0.11,0.92,0.54,82.61,30.79,79.84,131.66,21.602647,13,1,15.48074039,,,0.213428955,,,0.10617815,,
CNA TEX,2014,"2,125,023,853","1,615,932,618","458,709,137","25,415,270","479,319,533","351,358,012","1,044,262,957","3,019,578,340","249,526,104",509.09,0.12,4.18,2.26,77.71,5.66,106.78,178.83,21.828383,13,2,16.53430909,,,0.239569657,,,0.116359959,,
CNA TEX,2015,"2,775,756,460","2,139,546,396","576,032,981","12,355,109","642,998,290","454,790,911","1,502,255,985","3,627,468,910","171,310,856",636.21,0.13,8.77,5.02,74.71,2.08,108.19,180.82,22.011801,13,3,16.3843953,,,0.229202408,,,0.125374172,,
CNA TEX,2016,"2,283,545,840","1,864,745,774","682,364,320","5,725,718","683,650,508","246,997,036","1,754,505,892","3,819,967,882","118,854,588",418.8,0.06,14.76,9.01,107.57,1.11,131.98,238.45,22.063508,13,4,10.81638177,,,0.183399019,,,0.064659454,,
DACCADYE,2013,"865,921,216","520,721,340","382,657,712","109,426,729","408,931,379","81,191,490","1,017,761,530","3,324,025,209","721,734,580",345.2,0.02,1.41,0.84,159.09,75.65,282.71,366.15,21.924442,14,1,9.376313745,,,0.398650443,,,0.024425654,,
DACCADYE,2014,"941,162,866","567,175,558","409,235,014","74,228,997","412,081,740","70,511,114","1,091,851,603","3,344,252,656","709,464,822",373.99,0.02,1.54,0.96,156.53,47.11,261.56,370.98,21.930509,14,2,7.491914157,,,0.397367259,,,0.021084266,,
DACCADYE,2015,"904,735,551","563,417,147","440,593,666","182,523,500","444,726,069","66,587,164","1,190,019,594","3,551,221,184","876,688,188",341.32,0.02,1.36,0.85,175.32,116.62,284.16,342.85,21.990557,14,3,7.359848292,,,0.377257646,,,0.018750498,,
DACCADYE,2016,"950,503,414","584,053,373","419,794,112","355,876,063","459,742,456","73,539,712","1,171,288,210","3,771,472,459","1,041,427,052",366.45,0.02,1.12,0.68,159,219.36,283.38,223.02,22.050731,14,4,7.736922447,,,0.385532588,,,0.019498939,,
DACCADYE,2017,"321,911,988","347,701,874","511,880,755","663,992,590","344,559,221","-177,451,640","1,213,130,681","4,007,296,696","1,515,855,142",-25.79,-0.04,0.8,0.57,572.45,687.48,356.75,241.71,22.111383,14,5,-55.12427204,-4.63185468,,-0.080114711,0.295738645,,-0.044282132,0.007895445,
DSSL,2013,"758,931,300","555,591,719","643,662,483","6,750,672","215,738,697","81,991,796","1,043,921,788","1,648,699,934","146,948,711",203.34,0.05,7.1,5.64,305.32,4.37,139.79,440.74,21.223253,15,1,10.80358604,,,0.267928838,,,0.049731182,,
DSSL,2014,"766,817,162","558,661,531","573,779,387","6,307,567","204,386,632","89,082,663","1,012,229,334","1,624,829,957","83,557,771",208.16,0.05,12.11,9.67,269.37,4.06,131.71,397.02,21.208669,15,2,11.61719735,,,0.271454059,,,0.054825837,,
DSSL,2015,"1,230,480,751","891,537,051","710,222,892",6758900,"241,233,203","159,052,581","1,244,502,919","2,140,558,626","84,984,305",338.94,0.07,14.64,11.81,207.79,2.73,97.41,302.47,21.484333,15,3,12.92605194,,,0.27545632,,,0.07430424,,
DSSL,2016,"1,015,339,175","731,743,102","851,093,907","7,315,960","345,337,738","145,578,044","1,348,062,698","2,278,920,201","91,875,339",283.6,0.06,14.67,10.91,301.76,3.6,169.9,468.06,21.546968,15,4,14.33787325,,,0.279311663,,,0.063880273,,
ENVOY TEX,2013,"3,983,610,866","3,109,944,679","1,052,840,269","2,011,589,300","681,629,585","435,542,578","2,474,208,172","8,901,336,893","2,796,878,943",873.67,0.05,0.88,0.64,95.15,232.86,78.9,-58.81,22.909467,16,1,10.93336153,,,0.219315143,,,0.048930018,,
ENVOY TEX,2014,"4,391,171,642","3,620,820,176","1,394,634,113","810,282,016","983,462,632","310,925,062","3,183,855,504","10,262,555,483","3,669,838,165",770.35,0.03,0.87,0.6,114.34,80.56,97.78,131.55,23.051768,16,2,7.080685688,,,0.175431873,,,0.030297041,,
